Betreiber,Anzeigename,Status,Art der Ladeeinrichtung,Anzahl Ladepunkte,Nennleistung [kW],Inbetriebnahmedatum,Straße,Hausnummer,PLZ,Ort,Volladresse,location,Latitude,Longitude,Stadtteil,Begründung
,AC-0109,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9993102,8.3429199,Daxlanden,AC score=70; ist_ac=0
,AC-0110,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9813459,8.3706676,Oberreut,AC score=70; ist_ac=0
,AC-0111,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0168793,8.3656358,Mühlburg,AC score=70; ist_ac=24
,AC-0112,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9820054,8.3706697,Oberreut,AC score=70; ist_ac=0
,AC-0113,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0073469,8.4938096,Grötzingen,AC score=70; ist_ac=4
,AC-0114,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0073109,8.4944753,Grötzingen,AC score=70; ist_ac=4
,AC-0115,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.989567349999994,8.3656375,Oberreut,AC score=70; ist_ac=0
,AC-0116,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.00997003333333,8.360446933333334,Mühlburg,AC score=70; ist_ac=24
,AC-0117,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0265515,8.3906868,Nordstadt,AC score=70; ist_ac=7
,AC-0118,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0144562,8.3589031,Mühlburg,AC score=70; ist_ac=24
,AC-0119,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.988624800000004,8.366787466666665,Oberreut,AC score=70; ist_ac=0
,AC-0120,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9907254,8.3837244,Beiertheim-Bulach,AC score=70; ist_ac=2
,AC-0121,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0169511,8.4410623,Rintheim,AC score=70; ist_ac=10
,AC-0122,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9908591,8.3845022,Beiertheim-Bulach,AC score=70; ist_ac=2
,AC-0123,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9809872,8.409376,Rüppurr,AC score=70; ist_ac=4
,AC-0124,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.990708,8.3993393,Weiherfeld-Dammerstock,AC score=70; ist_ac=6
,AC-0125,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9923746,8.388463,Beiertheim-Bulach,AC score=70; ist_ac=2
,AC-0126,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9797791,8.4110457,Rüppurr,AC score=70; ist_ac=4
,AC-0127,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.99315555,8.381950400000001,Beiertheim-Bulach,AC score=70; ist_ac=2
,AC-0128,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.03803786666666,8.393764933333335,Neureut,AC score=70; ist_ac=3
,AC-0129,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.031626849999995,8.393903025,Nordstadt,AC score=70; ist_ac=7
,AC-0130,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.009035600000004,8.406790066666666,Innenstadt-Ost,AC score=70; ist_ac=44
,AC-0131,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0195492,8.4619386,Hagsfeld,AC score=70; ist_ac=10
,AC-0132,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.04505852222222,8.394322633333335,Neureut,AC score=70; ist_ac=3
,AC-0133,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0369028,8.392083600000001,Neureut,AC score=70; ist_ac=3
,AC-0134,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.993482766666666,8.385068133333334,Beiertheim-Bulach,AC score=70; ist_ac=2
,AC-0135,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0537011,8.3923935,Neureut,AC score=70; ist_ac=3
